[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 10:12:57] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:35] Debug: I'm runing!
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 16:48:37] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 19:13:14] Debug: I'm runing!
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\540.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
[2016-04-11 19:13:16] Fatal: 未知协议: D:\C02_OtherProj\SCADA_taizhong\Scada_Demo\bin\hopeInsight\Cfg\WindPower\DFIG\Protocol\530.000.000\
